City,Country,aqi,co,dew,humidity,mepaqi,no2,o3,pm10,pm25,preciptation,pressure,so2,temperature,lat,lng
Beijing,CN,-35.1,-17.8,12.7,86.8,,-29.0,-4.7,-24.8,-18.9,-94.0,78.0,-61.5,54.7,39.905,116.3914
Calgary,CA,,45.0,-100.0,70.7,,-11.2,0.7,-100.0,-13.2,,75.4,-26.2,69.4,51.05,-114.0667
Changchun,CN,,-3.9,-197.2,125.0,,-13.6,-15.8,-17.4,-7.1,83.0,103.2,-51.2,88.9,43.9,125.2
Changsha,CN,,-2.1,130.5,118.8,,-20.6,-12.9,-23.1,-15.2,17.4,92.8,-46.0,111.0,28.1987,112.9709
Changzhou,CN,,-4.0,231.9,116.4,,-14.7,-48.0,-21.9,-18.7,226.6,152.8,-44.9,89.8,31.8122,119.9692
Chengdu,CN,,-10.4,100.6,94.9,,-21.1,-1.6,-24.7,-19.3,-52.1,94.7,-39.8,111.7,30.6636,104.0667
Chongqing,CN,,1.4,108.5,106.1,,-14.0,-5.4,-20.7,-20.0,20.7,103.5,-29.7,109.6,29.55,106.5069
Dongguan,CN,,-6.9,163.9,90.2,,-24.1,-6.2,-22.3,-22.9,-100.0,85.4,-23.6,82.9,23.0475,113.7493
Edmonton,CA,,-11.7,-420.6,85.3,,-11.9,0.7,-100.0,-20.5,,84.2,-4.6,45.0,53.5344,-113.4903
Foshan,CN,,-2.7,139.2,95.8,,-22.1,2.1,-18.2,-23.0,-100.0,87.5,-28.8,81.6,23.0292,113.1056
Fushun,CN,,-3.5,11.1,115.2,,-14.2,-8.4,-10.5,-4.9,-100.0,99.5,-24.9,91.7,41.8708,123.8917
Fuzhou,CN,,13.0,121.4,110.1,,-22.9,-3.8,-19.4,-19.3,-77.6,96.3,-24.1,108.0,26.0769,119.2917
Guangzhou,CN,,-3.4,101.3,75.7,,-23.5,6.0,-19.6,-23.8,-100.0,78.6,-30.6,74.5,23.1288,113.259
Guiyang,CN,,11.7,111.6,104.7,,-29.7,-6.1,-21.1,-23.2,,102.5,-21.6,108.3,26.5794,106.7078
Haikou,CN,,0.4,109.1,105.8,,-15.8,6.8,-16.3,-20.6,,107.1,-25.7,106.2,20.02,110.32
Halifax,CA,,-100.0,-133.3,34.1,,11.6,-4.9,,-9.7,,35.5,12.4,52.5,44.6475,-63.5906
