City,Country,month,aqi,co,dew,humidity,mepaqi,no2,o3,pm10,pm25,preciptation,pressure,so2,temperature
Anyang,CN,1,0.2,-22.6,,492.1,,-22.0,30.0,-0.6,12.6,221.4,643.5,-65.7,-283.2
Anyang,CN,2,38.3,-51.5,1263.4,187.8,,-52.4,32.6,-38.2,-17.4,271.7,314.1,-71.6,144.7
Anyang,CN,3,-80.2,-54.7,-17.3,352.0,,-22.7,3.0,-25.1,-15.1,614.0,1061.2,-65.3,188.6
Anyang,CN,4,-84.2,-47.7,97.2,196.8,,-10.4,1.7,-20.0,-11.9,20.8,470.6,-49.7,218.8
Anyang,CN,5,-81.1,-43.7,541.3,152.6,,-22.2,3.3,-13.4,-20.4,766.8,359.8,-39.6,146.8
Anyang,CN,6,-34.3,-37.4,376.3,122.3,,-22.7,-4.1,-3.1,-11.8,48336.6,183.7,-37.6,95.3
Anyang,CN,7,-100.0,197.2,32.1,51.5,,-12.5,-11.0,-1.1,-0.3,48.5,128.8,-48.7,5.7
Anyang,CN,8,,,8.2,8.5,,-21.6,-5.6,-9.6,-8.7,-49.6,84.9,-44.6,-0.4
Anyang,CN,9,,5108.3,-8.8,-8.4,,0.3,-12.5,-3.9,-10.0,-80.0,99.5,-27.4,-1.7
Anyang,CN,10,52.7,20.8,-38.8,-14.8,,27.1,-29.7,19.3,12.1,-62.0,57.4,10.0,-8.3
Anyang,CN,11,,-4.2,-269.0,19.0,,-9.5,3.6,-12.3,-5.1,-70.0,617.6,-17.0,-10.6
Anyang,CN,12,-100.0,-36.5,166.7,29.1,,-8.8,10.9,-5.0,-10.0,-40.5,50.1,-29.6,-88.0
Beijing,CN,1,223.8,-23.9,,439.4,,-14.3,3.7,-14.2,6.3,,186.7,-62.3,131.2
Beijing,CN,2,366.5,-16.7,1257.3,282.0,,-35.5,3.0,-15.9,1.6,-100.0,122.9,-71.6,37.4
Beijing,CN,3,-95.2,-42.2,82.7,286.8,,-49.6,19.4,-45.3,-29.7,196.7,170.4,-68.3,115.6
Beijing,CN,4,-100.0,-42.3,-3128.6,97.1,,-47.2,18.0,-31.6,-34.9,-100.0,194.9,-51.3,196.0
Beijing,CN,5,-100.0,-6.7,430.6,154.3,,-39.7,-7.8,-34.0,-21.1,-100.0,105.7,-48.0,88.7
Beijing,CN,6,-100.0,-27.2,230.1,60.6,,-36.2,5.0,-4.6,-22.0,-100.0,71.2,-37.9,72.3
Beijing,CN,7,-100.0,445.0,14.6,22.8,,-30.2,4.0,-2.8,3.3,-100.0,15.1,-74.6,6.1
Beijing,CN,8,,,16.8,18.4,,-17.9,7.5,11.3,16.6,-100.0,-0.1,-73.6,0.4
Beijing,CN,9,,1766.0,-12.6,2.1,,-18.5,-38.8,-31.3,-28.3,-100.0,-0.2,-76.9,-8.2
Beijing,CN,10,,-2.4,-91.9,-26.9,,-0.7,-14.6,2.1,-10.5,-100.0,0.0,-27.7,-1.9
Beijing,CN,11,,-18.8,25.4,-10.2,,-10.8,25.1,-17.9,-16.5,-100.0,0.1,-30.8,-10.9
Beijing,CN,12,-100.0,-40.3,97.9,3.0,,-23.4,21.9,-18.0,-24.4,,29.5,-30.1,149.2
Calgary,CA,1,,18.4,,175.5,,-4.8,0.0,,-5.7,,172.1,90.3,839.4
Calgary,CA,2,,23.7,,56.8,,-35.8,-0.0,,-43.3,,82.4,131.1,-88.8
Calgary,CA,3,,5.0,,202.3,,-35.8,0.0,,-17.9,,170.3,148.7,484.4
Calgary,CA,4,,-15.2,,237.4,,-26.0,0.0,,-16.5,,190.8,-80.2,-39.5
Calgary,CA,5,,41.7,,93.0,,-20.7,0.0,,-48.2,,93.7,-49.2,83.6
Calgary,CA,6,,166.4,,87.1,,-5.9,0.0,-100.0,-35.1,,68.4,-42.2,64.3
Calgary,CA,7,,2250.5,-100.0,4.3,,-17.9,-0.0,,-13.7,,12.8,-56.8,24.9
Calgary,CA,8,,,-100.0,-21.5,,-1.5,0.0,,13.7,,-0.2,-70.9,13.5
Calgary,CA,9,,5414.1,,-18.6,,14.7,0.0,,74.1,,0.3,-69.0,28.5
Calgary,CA,10,,46.8,,9.5,,-8.3,-0.0,,44.8,,0.2,-54.2,37.6
Calgary,CA,11,,3.0,,-16.2,,1.1,0.0,,26.8,,-1.0,-58.6,-101.2
Calgary,CA,12,,10.0,,12.2,,8.3,19.3,,43.3,,35.3,-5.5,-57.3
Changchun,CN,1,,10.0,,349.8,,11.6,7.1,9.7,27.6,864.3,204.6,-50.8,293.4
Changchun,CN,2,,-33.8,1567.9,220.7,,-47.8,-3.9,-33.2,-13.0,-16.7,109.6,-62.3,249.6
Changchun,CN,3,,-30.4,128.2,313.8,,-40.0,-13.8,-30.3,-15.9,447.7,205.9,-60.3,191.6
Changchun,CN,4,,15.0,139.6,350.8,,19.1,4.9,6.2,40.4,274.7,201.5,-15.7,98.4
Changchun,CN,5,,-20.8,1128.6,337.7,,-18.2,-12.5,-27.8,-13.8,347.6,231.4,-33.0,203.8
Changchun,CN,6,,-24.2,256.8,174.6,,-20.2,-11.4,-15.9,-23.2,282.6,192.1,-26.9,216.3
Changchun,CN,7,,435.4,3.9,6.9,,3.0,10.5,-1.9,-9.8,-14.2,20.4,-62.2,19.1
Changchun,CN,8,,,-3.6,-10.7,,-1.9,18.5,17.4,-2.0,-47.4,-0.0,-68.6,6.3
Changchun,CN,9,,1898.7,9.3,16.3,,-12.6,-26.7,-15.2,-0.2,-19.5,-0.4,-59.9,-11.3
Changchun,CN,10,,14.7,172.6,2.2,,-14.5,-22.2,-11.9,-9.9,-14.8,-0.1,-14.2,-12.4
Changchun,CN,11,,18.9,-25.0,14.1,,11.9,-55.0,15.5,34.6,-99.2,-0.0,-7.2,-41.5
Changchun,CN,12,,-34.6,47.5,21.5,,-23.4,-40.3,-24.9,-27.5,-100.0,28.8,-41.8,40.9
Changsha,CN,1,,-11.9,334.1,198.9,,-33.7,-16.7,-33.5,-16.6,143.2,180.6,-66.5,242.3
Changsha,CN,2,,-19.2,327.5,95.6,,-49.2,-3.9,-38.3,-23.5,7.4,94.8,-58.9,242.2
Changsha,CN,3,,-17.5,256.4,217.3,,-40.1,0.5,-30.7,-20.0,44.3,201.5,-53.9,222.7
Changsha,CN,4,,-12.0,156.1,187.8,,0.5,3.1,-6.8,7.1,-76.5,204.6,-36.5,178.8
Changsha,CN,5,,-8.4,300.4,245.2,,-12.5,-5.3,-15.4,-13.6,172.1,123.1,-34.6,273.2
Changsha,CN,6,,-7.5,293.3,282.5,,-18.3,-31.5,-28.0,-23.2,236.4,183.6,-39.1,266.4
Changsha,CN,7,,433.0,31.7,33.8,,1.4,-20.6,-6.5,-4.5,-23.4,16.3,-51.8,19.4
Changsha,CN,8,,,2.8,1.6,,-18.0,-30.4,-32.0,-27.4,-84.5,0.1,-51.0,1.0
Changsha,CN,9,,2385.4,12.9,41.9,,-15.0,-40.2,-40.1,-27.5,-32.6,-0.1,-57.6,-13.3
Changsha,CN,10,,6.6,-0.5,11.6,,-18.7,3.3,-15.2,-12.3,31.5,0.1,-31.0,-11.7
Changsha,CN,11,,-1.3,8.2,8.5,,-12.5,-5.1,-17.7,-12.1,-18.7,0.1,-22.0,0.5
Changsha,CN,12,,-2.5,-8.0,26.0,,-7.2,-4.3,8.0,4.3,-100.0,29.8,-20.7,9.6
Changzhou,CN,1,,-14.1,,250.8,,-24.8,-100.0,-14.0,-5.1,,222.3,-58.5,495.8
Changzhou,CN,2,,-26.3,,138.0,,-50.4,-100.0,-34.0,-26.2,,135.4,-50.7,261.9
Changzhou,CN,3,,-20.9,,408.7,,-32.4,-100.0,-30.5,-31.0,,254.2,-54.3,250.6
Changzhou,CN,4,,-14.3,,282.3,,-7.6,-100.0,-14.2,-15.5,,259.4,-46.7,209.9
Changzhou,CN,5,,-1.0,,195.4,,-19.7,-100.0,-13.6,-9.9,,148.1,-44.6,150.9
